key	value
CHARACTER_CREATION_CUSTOMIZER_COLOR_BODY_TEXTURE	纹理
CHARACTER_CREATION_CUSTOMIZER_COLOR_HAIR_HEADER	头发
CHARACTER_CREATION_CUSTOMIZER_COLOR_HAIR_LOCK_COLOR	锁定颜色
CHARACTER_CREATION_CUSTOMIZER_HEADER_HEAD	头部
CHARACTER_CREATION_CUSTOMIZER_HEAD_HEAD_WIDTH	头宽
CHARACTER_CREATION_CUSTOMIZER_HEAD_HEAD_MOD	修改
CHARACTER_CREATION_CUSTOMIZER_HEAD_VOICE_PITCH	声调
CHARACTER_CREATION_CUSTOMIZER_HEAD_HAIR_STYLE	头发
CHARACTER_CREATION_CUSTOMIZER_HEAD_EARS	耳朵
CHARACTER_CREATION_CUSTOMIZER_HEAD_EYES	眼睛
CHARACTER_CREATION_CUSTOMIZER_HEAD_MOUTH	嘴巴
CHARACTER_CREATION_CUSTOMIZER_HEADER_BODY	身体
CHARACTER_CREATION_CUSTOMIZER_BODY_HEIGHT	身高
CHARACTER_CREATION_CUSTOMIZER_BODY_WIDTH	身宽
CHARACTER_CREATION_CUSTOMIZER_BODY_CHEST	胸部
CHARACTER_CREATION_CUSTOMIZER_BODY_ARMS	手臂
CHARACTER_CREATION_CUSTOMIZER_BODY_BELLY	腹部
CHARACTER_CREATION_CUSTOMIZER_BODY_BOTTOM	臀部
CHARACTER_CREATION_CUSTOMIZER_BODY_TAIL	尾巴
CHARACTER_CREATION_CUSTOMIZER_BODY_TOGGLE_LEFT_HANDED	镜像身体
CHARACTER_CREATION_CUSTOMIZER_HEADER_TRAIT	Trait
CHARACTER_CREATION_CUSTOMIZER_TRAIT_EQUIPMENT	装备
CHARACTER_CREATION_CUSTOMIZER_TRAIT_WEAPON_LOADOUT	武器
CHARACTER_CREATION_CUSTOMIZER_TRAIT_GEAR_DYE	染料
CHARACTER_CREATION_CUSTOMIZER_TRAIT_ATTRIBUTES	属性
CHARACTER_CREATION_CUSTOMIZER_TRAIT_RESET_ATTRIBUTE_POINTS	重置点数
SETTINGS_TAB_BUTTON_VIDEO	显示
SETTINGS_TAB_BUTTON_AUDIO	音频
SETTINGS_TAB_BUTTON_INPUT	输入
SETTINGS_TAB_BUTTON_NETWORK	界面
SETTINGS_VIDEO_HEADER_GAME_EFFECT_SETTINGS	显示敏感设置
SETTINGS_VIDEO_CELL_PROPORTIONS_TOGGLE	限制玩家角色比例
SETTINGS_VIDEO_CELL_JIGGLE_BONES_TOGGLE	关闭暗示性骨骼绑定
SETTINGS_VIDEO_CELL_CLEAR_UNDERCLOTHES_TOGGLE	启用去除打底衣物
SETTINGS_VIDEO_HEADER_VIDEO_SETTINGS	画面设置
SETTINGS_VIDEO_CELL_FULLSCREEN_TOGGLE	全屏模式
SETTINGS_VIDEO_CELL_VERTICAL_SYNC	垂直同步/锁定60FPS
SETTINGS_VIDEO_CELL_ANISOTROPIC_FILTERING	各向异性过滤
SETTINGS_VIDEO_CELL_SCREEN_RESOLUTION	屏幕分辨率
SETTINGS_VIDEO_CELL_ANTI_ALIASING	抗锯齿
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_1	禁用
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_2	2倍多重采样
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_3	4倍多重采样
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_4	8倍多重采样
SETTINGS_VIDEO_CELL_TEXTURE_FILTERING	纹理过滤
SETTINGS_VIDEO_CELL_TEXTURE_FILTERING_OPTION_1	双线性（平滑）
SETTINGS_VIDEO_CELL_TEXTURE_FILTERING_OPTION_2	最近点插值（颗粒感）
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY	纹理质量
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_1	高
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_2	中
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_3	低
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_4	非常低
SETTINGS_VIDEO_HEADER_CAMERA_SETTINGS	摄像头显示设置
SETTINGS_VIDEO_CELL_FIELD_OF_VIEW	视野FOV
SETTINGS_VIDEO_CELL_CAMERA_SMOOTHING	平滑摄像头
SETTINGS_VIDEO_CELL_CAMERA_HORIZ	摄像头X轴位置
SETTINGS_VIDEO_CELL_CAMERA_VERT	摄像头Y轴位置
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE	视野距离
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_1	非常近
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_2	近
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_3	远
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_4	非常远
SETTINGS_VIDEO_HEADER_POST_PROCESSING	后期处理
SETTINGS_VIDEO_CELL_CAMERA_BITCRUSH_SHADER	启用像素化
SETTINGS_VIDEO_CELL_CAMERA_WATER_EFFECT	启用水下扭曲着色器
SETTINGS_VIDEO_CELL_CAMERA_SHAKE	启用屏幕摇晃
SETTINGS_VIDEO_CELL_WEAPON_GLOW	关闭武器发光效果
SETTINGS_AUDIO_HEADER_AUDIO_SETTINGS	音频设置
SETTINGS_AUDIO_CELL_MASTER_VOLUME	主音量
SETTINGS_AUDIO_CELL_MUTE_APPLICATION	静音应用程序
SETTINGS_AUDIO_CELL_MUTE_MUSIC	背景音乐静音
SETTINGS_AUDIO_HEADER_AUDIO_CHANNEL_SETTINGS	音频通道
SETTINGS_AUDIO_CELL_GAME_VOLUME	游戏音量
SETTINGS_AUDIO_CELL_GUI_VOLUME	界面音量
SETTINGS_AUDIO_CELL_AMBIENCE_VOLUME	环境音量
SETTINGS_AUDIO_CELL_MUSIC_VOLUME	音乐音量
SETTINGS_AUDIO_CELL_VOICE_VOLUME	语音音量
SETTINGS_INPUT_HEADER_INPUT_SETTINGS	输入设置
SETTINGS_INPUT_CELL_AXIS_TYPE	模拟摇杆轴类型
SETTINGS_INPUT_CELL_AXIS_TYPE_OPTION_1	WASD（8向）
SETTINGS_INPUT_CELL_AXIS_TYPE_OPTION_2	Xbox
SETTINGS_INPUT_CELL_AXIS_TYPE_OPTION_3	Playstation 4
SETTINGS_INPUT_HEADER_CAMERA_CONTROL	摄像头控制
SETTINGS_INPUT_CELL_CAMERA_SENSITIVITY	摇杆敏度
SETTINGS_INPUT_CELL_INVERT_X_CAMERA_AXIS	反转 X 轴
SETTINGS_INPUT_CELL_INVERT_Y_CAMERA_AXIS	反转 Y 轴
SETTINGS_INPUT_CELL_KEYBINDING_RESET_CAMERA	重置摄像头
SETTINGS_INPUT_HEADER_MOVEMENT	移动
SETTINGS_INPUT_CELL_KEYBINDING_UP	上
SETTINGS_INPUT_CELL_KEYBINDING_DOWN	下
SETTINGS_INPUT_CELL_KEYBINDING_LEFT	左
SETTINGS_INPUT_CELL_KEYBINDING_RIGHT	右
SETTINGS_INPUT_CELL_KEYBINDING_JUMP	跳跃
SETTINGS_INPUT_CELL_KEYBINDING_DASH	冲刺
SETTINGS_INPUT_HEADER_STRAFING	横向移动
SETTINGS_INPUT_CELL_KEYBINDING_LOCK_DIRECTION	Strafe
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_MODE	Strafe / Aim Mode
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_MODE_OPTION_1	按住锁定朝向键
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_MODE_OPTION_2	切换锁定朝向键
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_WEAPON	持武器时锁定朝向
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_CASTING	使用技能时固定角色方向
SETTINGS_INPUT_HEADER_ACTION	动作
SETTINGS_INPUT_CELL_KEYBINDING_ATTACK	攻击
SETTINGS_INPUT_CELL_KEYBINDING_CHARGE_ATTACK	蓄力攻击
SETTINGS_INPUT_CELL_KEYBINDING_BLOCK	格挡
SETTINGS_INPUT_CELL_KEYBINDING_TARGET	视角锁定
SETTINGS_INPUT_CELL_KEYBINDING_INTERACT	交流
SETTINGS_INPUT_CELL_KEYBINDING_PVP_FLAG	PvP模式切换
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_01	技能槽1
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_02	技能槽2
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_03	技能槽3
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_04	技能槽4
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_05	技能槽5
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_06	技能槽6
SETTINGS_INPUT_CELL_KEYBINDING_RECALL	召回
SETTINGS_INPUT_CELL_KEYBINDING_QUICKSWAP_WEAPON	快捷切换武器
SETTINGS_INPUT_CELL_KEYBINDING_SHEATHE_WEAPON	收回/拔出武器
SETTINGS_INPUT_CELL_KEYBINDING_SIT	坐下
SETTINGS_INPUT_HEADER_CONSUMABLE_SLOTS	消耗品快捷栏
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_01	快捷栏 1
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_02	快捷栏 2
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_03	快捷栏 3
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_04	快捷栏 4
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_05	快捷栏 5
SETTINGS_INPUT_HEADER_INTERFACE	界面
SETTINGS_INPUT_CELL_KEYBINDING_HOST_CONSOLE	服务器控制台
SETTINGS_INPUT_CELL_KEYBINDING_LEXICON	打开词典
SETTINGS_INPUT_CELL_KEYBINDING_TAB_MENU	Open Tab Menu
SETTINGS_INPUT_CELL_KEYBINDING_STATS_TAB	属性界面
SETTINGS_INPUT_CELL_KEYBINDING_SKILLS_TAB	技能界面
SETTINGS_INPUT_CELL_KEYBINDING_ITEM_TAB	物品界面
SETTINGS_INPUT_CELL_KEYBINDING_QUEST_TAB	任务界面
SETTINGS_INPUT_CELL_KEYBINDING_WHO_TAB	联机页界面
SETTINGS_INPUT_CELL_KEYBINDING_HIDE_UI	隐藏游戏界面
SETTINGS_NETWORK_HEADER_UI_SETTINGS	界面设置
SETTINGS_NETWORK_CELL_LOCALYSSATION_LANGUAGE	语言
SETTINGS_NETWORK_CELL_DISPLAY_CREEP_NAMETAGS	显示敌人名字
SETTINGS_NETWORK_CELL_DISPLAY_LOCAL_NAMETAG	显示在线玩家名称
SETTINGS_NETWORK_CELL_DISPLAY_HOST_TAG	在房主的角色上显示[房主]标签
SETTINGS_NETWORK_CELL_HIDE_DUNGEON_MINIMAP	隐藏地牢小地图
SETTINGS_NETWORK_CELL_HIDE_FPS_COUNTER	隐藏帧率
SETTINGS_NETWORK_CELL_HIDE_PING_COUNTER	隐藏网络延迟
SETTINGS_NETWORK_HEADER_CLIENT_SETTINGS	客户端设置
SETTINGS_NETWORK_CELL_ENABLE_PVP_ON_MAP_ENTER	只有当 PvP 模式可用时
SETTINGS_BUTTON_RESET_TO_DEFAULTS	重置为默认设置
SETTINGS_BUTTON_RESET	重置
SETTINGS_BUTTON_CANCEL	取消
SETTINGS_BUTTON_APPLY	应用
FORMAT_EQUIP_ITEM_RARITY	[{0}]
FORMAT_EQUIP_LEVEL_REQUIREMENT	Lv-{0}
FORMAT_EQUIP_CLASS_REQUIREMENT	职业：{0}
FORMAT_EQUIP_WEAPON_CONDITION	\n<color=lime>- <color=yellow>{0}%</color> chance to apply {1}.</color>
EQUIP_TOOLTIP_TYPE_HELM	头盔（装备）
EQUIP_TOOLTIP_TYPE_CHESTPIECE	胸甲（装备）
EQUIP_TOOLTIP_TYPE_LEGGINGS	护腿（装备）
EQUIP_TOOLTIP_TYPE_CAPE	披风（装备）
EQUIP_TOOLTIP_TYPE_RING	戒指（装备）
FORMAT_EQUIP_TOOLTIP_TYPE_WEAPON	{0}（武器）
EQUIP_TOOLTIP_TYPE_SHIELD	盾牌
FORMAT_EQUIP_STATS_DAMAGE_SCALED	<color=#c5e384>（ {0} - {1} ）</color> 伤害
FORMAT_EQUIP_STATS_DAMAGE_SCALED_POWERFUL	<color=#efcc00>（ {0} - {1} )</color> 伤害
FORMAT_EQUIP_STATS_DAMAGE_COMPARE_BASE	\n<color=grey> （基础伤害: {0} - {1}）</color>
FORMAT_EQUIP_STATS_DAMAGE_UNSCALED	（{0} - {1}） 伤害
FORMAT_EQUIP_STATS_BLOCK_THRESHOLD	格挡上限：{0} 伤害
TAB_MENU_CELL_STATS_HEADER	属性
TAB_MENU_CELL_STATS_ATTRIBUTE_POINT_COUNTER	点数
TAB_MENU_CELL_STATS_BUTTON_APPLY_ATTRIBUTE_POINTS	应用
TAB_MENU_CELL_STATS_INFO_CELL_NICK_NAME	昵称
TAB_MENU_CELL_STATS_INFO_CELL_RACE_NAME	种族
TAB_MENU_CELL_STATS_INFO_CELL_CLASS_NAME	职业
TAB_MENU_CELL_STATS_INFO_CELL_LEVEL_COUNTER	等级
TAB_MENU_CELL_STATS_INFO_CELL_EXPERIENCE	经验值
TAB_MENU_CELL_STATS_INFO_CELL_MAX_HEALTH	生命值
TAB_MENU_CELL_STATS_INFO_CELL_MAX_MANA	魔力值
TAB_MENU_CELL_STATS_INFO_CELL_MAX_STAMINA	耐力值
TAB_MENU_CELL_STATS_INFO_CELL_ATTACK	物攻值
TAB_MENU_CELL_STATS_INFO_CELL_RANGED_POWER	敏攻值
TAB_MENU_CELL_STATS_INFO_CELL_PHYS_CRITICAL	物理暴击率 %
TAB_MENU_CELL_STATS_INFO_CELL_MAGIC_POW	魔攻值
TAB_MENU_CELL_STATS_INFO_CELL_MAGIC_CRIT	魔法暴击率 %
TAB_MENU_CELL_STATS_INFO_CELL_DEFENSE	物理防御力
TAB_MENU_CELL_STATS_INFO_CELL_MAGIC_DEF	魔法防御力
TAB_MENU_CELL_STATS_INFO_CELL_EVASION	闪避率 %
TAB_MENU_CELL_STATS_INFO_CELL_MOVE_SPD	移动速度 %
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_BEGIN	<b>基础属性：</b> <i>
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_END_CRIT	%</i> (暴击率 %)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_END_EVASION	%</i> (闪避率 %)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_ATTACK_POW	{0}</i> (物攻值)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAX_MP	{0}</i>（魔力上限）
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAX_HP	{0}</i>（生命上限）
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_RANGE_POW	{0}</i>（敏攻值）
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_END_MAGIC_CRIT	%</i>（魔法暴击率 %）
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAGIC_DEF	{0}</i>（魔法防御力）
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_DEFENSE	{0}</i> (物理防御力)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAGIC_POW	{0}</i> (魔攻值)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAX_STAM	{0}</i> (耐力上限)
FORMAT_QUEST_REQUIRED_LEVEL	(lv-{0})
QUEST_TYPE_CLASS	（职业秘籍）
QUEST_TYPE_MASTERY	（精通卷轴）
QUEST_MENU_SUMMARY_NO_QUESTS	任务日志内没有任务。
QUEST_MENU_HEADER_UNSELECTED	选择一个任务。
FORMAT_QUEST_MENU_CELL_QUEST_LOG_COUNTER	任务日志: ({0} / {1})
FORMAT_QUEST_MENU_CELL_FINISHED_QUEST_COUNTER	完成的任务: {0}
FORMAT_QUEST_MENU_CELL_REWARD_EXP	{0} 经验值
FORMAT_QUEST_MENU_CELL_REWARD_CURRENCY	{0} 克朗
QUEST_MENU_CELL_SLOT_EMPTY	空槽
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_ACCEPT	接受任务
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_LOCKED	锁定的任务
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_INCOMPLETE	未完成的任务
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_TURN_IN	完成任务
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_UNSELECTED	选择任务
FORMAT_QUEST_PROGRESS	{0}：( {1} / {2} )
FORMAT_QUEST_PROGRESS_CREEPS_KILLED	{0} 击杀
ITEM_LEATHER_CAP_NAME	皮革帽子
ITEM_LEATHER_CAP_DESCRIPTION	
ITEM_NEWFOLD_HALO_NAME	新手光环
ITEM_NEWFOLD_HALO_DESCRIPTION	象征新生灵魂降临世间的符印。
ITEM_FOCUS_CIRCLET_NAME	专注头环
ITEM_FOCUS_CIRCLET_DESCRIPTION	屏息凝神。
ITEM_JOURNEYMAN_SPECTACLES_NAME	老手眼镜
ITEM_JOURNEYMAN_SPECTACLES_DESCRIPTION	用于读得更卖力——现在还能染色了！
ITEM_MAGISTRATE_CIRCLET_NAME	法官头环
ITEM_MAGISTRATE_CIRCLET_DESCRIPTION	清空杂念，让心境归于平和。
ITEM_RAGE_CIRCLET_NAME	愤怒头环
ITEM_RAGE_CIRCLET_DESCRIPTION	愤怒与嫉妒之集合。
ITEM_GEISTLORD_CROWN_NAME	幽魂王冠
ITEM_GEISTLORD_CROWN_DESCRIPTION	你能承受随之而来的疯狂吗？
ITEM_NETHERCRYPT_HALO_NAME	冥墓光环
ITEM_NETHERCRYPT_HALO_DESCRIPTION	冥界被放逐者之冠。
ITEM_MITHRIL_HALO_NAME	秘银光环
ITEM_MITHRIL_HALO_DESCRIPTION	
ITEM_GLYPHGRIFT_HALO_NAME	狡诈之符光环
ITEM_GLYPHGRIFT_HALO_DESCRIPTION	
ITEM_JESTERCAST_MEMORY_NAME	若愚之智遗粹
ITEM_JESTERCAST_MEMORY_DESCRIPTION	与之为敌者，方见其愚顽。
ITEM_KNIGHTGUARD_HALO_NAME	守护骑士光环
ITEM_KNIGHTGUARD_HALO_DESCRIPTION	力量与英勇之希冀。
ITEM_GEISTLORD_EYE_NAME	幽魂之主的凝视
ITEM_GEISTLORD_EYE_DESCRIPTION	超乎理解的疯狂。
ITEM_INITIATE_SPECTACLES_NAME	学徒眼镜
ITEM_INITIATE_SPECTACLES_DESCRIPTION	用于阅读。
ITEM_CRYPTSINGE_HALO_NAME	黯墓光环
ITEM_CRYPTSINGE_HALO_DESCRIPTION	亡者之沉思。
ITEM_DIVA_CROWN_NAME	女王皇冠
ITEM_DIVA_CROWN_DESCRIPTION	由史莱姆女王佩戴的皇冠，蕴含着非凡之力。
ITEM_IRON_HALO_NAME	铁制光环
ITEM_IRON_HALO_DESCRIPTION	
ITEM_DEMICRYPT_HALO_NAME	半墓光环
ITEM_DEMICRYPT_HALO_DESCRIPTION	掉落自堕天使之身。
ITEM_ACOLYTE_HOOD_NAME	侍僧兜帽
ITEM_ACOLYTE_HOOD_DESCRIPTION	常有教徒戴着它。
ITEM_DIRE_HELM_NAME	勇战头盔
ITEM_DIRE_HELM_DESCRIPTION	它曾属于一位英勇的战士。
ITEM_WIZARD_HAT_NAME	巫师帽
ITEM_WIZARD_HAT_DESCRIPTION	
ITEM_REGAZUUL_CAPE_NAME	祖氏王家斗篷
ITEM_REGAZUUL_CAPE_DESCRIPTION	祖纳鲁达的一件尘封的遗物。
ITEM_COZY_CLOAK_NAME	保暖披风
ITEM_COZY_CLOAK_DESCRIPTION	让你在刺骨的天气下保持温暖。
ITEM_NETHERCRYPT_CLOAK_NAME	冥墓披风
ITEM_NETHERCRYPT_CLOAK_DESCRIPTION	曾用作死者的裹尸布。
ITEM_FORLORN_CLOAK_NAME	凄凉披风
ITEM_FORLORN_CLOAK_DESCRIPTION	孤独苦闷，直至永远。
ITEM_MESHLINK_CAPE_NAME	珠链丝网
ITEM_MESHLINK_CAPE_DESCRIPTION	既隐匿又轻便。
ITEM_SAGECALLER_CAPE_NAME	先贤化身
ITEM_SAGECALLER_CAPE_DESCRIPTION	披风上充盈着魔力。
ITEM_COBBLERAGE_CLOAK_NAME	撼山之势
ITEM_COBBLERAGE_CLOAK_DESCRIPTION	穿上它，你就能觉得自己像魔像一般强壮。
ITEM_DEATHWARD_CAPE_NAME	防死结界
ITEM_DEATHWARD_CAPE_DESCRIPTION	你听到骷髅图案里传来笑声。
ITEM_INITIATE_CLOAK_NAME	学徒披风
ITEM_INITIATE_CLOAK_DESCRIPTION	新的开始。
ITEM_NOKKET_CLOAK_NAME	纳克特披风
ITEM_NOKKET_CLOAK_DESCRIPTION	
ITEM_RUGGED_CLOAK_NAME	粗布披风
ITEM_RUGGED_CLOAK_DESCRIPTION	
ITEM_AERO_TOP_NAME	风行上衣
ITEM_AERO_TOP_DESCRIPTION	毕鸟通常穿的衣服。
ITEM_BUNHOST_GARB_NAME	兔女郎制服
ITEM_BUNHOST_GARB_DESCRIPTION	
ITEM_LEATHER_TOP_NAME	皮革上衣
ITEM_LEATHER_TOP_DESCRIPTION	珀尔通常穿的衣服。
ITEM_NECRO_MARROW_NAME	亡骨外装
ITEM_NECRO_MARROW_DESCRIPTION	小鬼通常穿的衣服。
ITEM_NOBLE_SHIRT_NAME	贵族衬衫
ITEM_NOBLE_SHIRT_DESCRIPTION	
ITEM_NUTSO_TOP_NAME	活力上衣
ITEM_NUTSO_TOP_DESCRIPTION	常鼠通常穿的衣服。
ITEM_SAGECLOTH_TOP_NAME	贤者上衣
ITEM_SAGECLOTH_TOP_DESCRIPTION	钴博通常穿的衣服。
ITEM_SILKEN_TOP_NAME	丝绸上衣
ITEM_SILKEN_TOP_DESCRIPTION	古老的丝绸衣物。说不定它从世界伊始就存在了...
ITEM_TEST_CHESTPIECE_NAME	测试胸甲
ITEM_TEST_CHESTPIECE_DESCRIPTION	用于测试贴图。
ITEM_VAMPIRIC_COAT_NAME	吸血鬼外衣
ITEM_VAMPIRIC_COAT_DESCRIPTION	
ITEM_DUELIST_GARB_NAME	格斗家上装
ITEM_DUELIST_GARB_DESCRIPTION	
ITEM_TATTERED_BATTLEROBE_NAME	破旧战袍
ITEM_TATTERED_BATTLEROBE_DESCRIPTION	
ITEM_WARRIOR_CHEST_NAME	战士胸甲
ITEM_WARRIOR_CHEST_DESCRIPTION	
ITEM_SLEEPERS_ROBE_NAME	睡眠长袍
ITEM_SLEEPERS_ROBE_DESCRIPTION	太困了...
ITEM_LORD_BREASTPLATE_NAME	领主胸甲
ITEM_LORD_BREASTPLATE_DESCRIPTION	向领主致敬！
ITEM_REAPSOW_GARB_NAME	噬魂制服
ITEM_REAPSOW_GARB_DESCRIPTION	潜藏起来才最令人生畏。
ITEM_WITCHLOCK_ROBE_NAME	巫术长袍
ITEM_WITCHLOCK_ROBE_DESCRIPTION	奥术师中的翘楚才配得上的长袍。
ITEM_GOLEM_CHESTPIECE_NAME	魔像胸甲
ITEM_GOLEM_CHESTPIECE_DESCRIPTION	
ITEM_NETHERCRYPT_TABARD_NAME	冥墓战袍
ITEM_NETHERCRYPT_TABARD_DESCRIPTION	
ITEM_ORNAMENTED_BATTLEROBE_NAME	华丽战袍
ITEM_ORNAMENTED_BATTLEROBE_DESCRIPTION	
ITEM_MERCENARY_VESTMENT_NAME	佣兵外衣
ITEM_MERCENARY_VESTMENT_DESCRIPTION	
ITEM_MITHRIL_CHESTPIECE_NAME	秘银胸甲
ITEM_MITHRIL_CHESTPIECE_DESCRIPTION	
ITEM_CARBUNCLE_ROBE_NAME	绯咒长袍
ITEM_CARBUNCLE_ROBE_DESCRIPTION	布料上的图案，若你仔细聆听，会发出轻微的嗡嗡声。
ITEM_FORTIFIED_VESTMENT_NAME	加固外衣
ITEM_FORTIFIED_VESTMENT_DESCRIPTION	
ITEM_CHAINSCALE_CHEST_NAME	链鳞胸甲
ITEM_CHAINSCALE_CHEST_DESCRIPTION	
ITEM_GEMVEIL_RAIMENT_NAME	镶晶护甲
ITEM_GEMVEIL_RAIMENT_DESCRIPTION	这件胸甲上镶嵌着闪烁的宝石，防御力极强。
ITEM_KING_BREASTPLATE_NAME	王家胸甲
ITEM_KING_BREASTPLATE_DESCRIPTION	跪下，向国王行礼！
ITEM_MONOLITH_CHESTPIECE_NAME	巨石魔像胸甲
ITEM_MONOLITH_CHESTPIECE_DESCRIPTION	
ITEM_REAPER_GI_NAME	死神上装
ITEM_REAPER_GI_DESCRIPTION	不死生物中暗杀者的装束。
ITEM_WITCHWIZARD_ROBE_NAME	巫术长袍
